company,product_name,reference_id,review_year,cocoa_percent,company_location,rating,bean_type,bean_origin,is_dark,rating_grade
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,,,False,Premium
A. Morin,Kpime,1676,2015,70.0,France,2.75,,,True,Poprawny
A. Morin,Atsane,1676,2015,70.0,France,3.0,,,True,Poprawny
A. Morin,Akata,1680,2015,70.0,France,3.5,,,True,Premium
A. Morin,Quilla,1704,2015,70.0,France,3.5,,,True,Premium
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,,True,Poprawny
A. Morin,Cuba,1315,2014,70.0,France,3.5,,,True,Premium
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,,True,Premium
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,,True,Premium
A. Morin,Pablino,1319,2014,70.0,France,4.0,,,True,Premium
A. Morin,Panama,1011,2013,70.0,France,2.75,,,True,Poprawny
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,,True,Poprawny
A. Morin,Brazil,1011,2013,70.0,France,3.25,,,True,Premium
A. Morin,Equateur,1011,2013,70.0,France,3.75,,,True,Premium
A. Morin,Colombie,1015,2013,70.0,France,2.75,,,True,Poprawny
A. Morin,Birmanie,1015,2013,70.0,France,3.0,,,True,Poprawny
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,,,True,Premium
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,,True,Premium
A. Morin,Piura,1019,2013,70.0,France,3.25,,,True,Premium
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,,,True,Premium
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,,,False,Premium
A. Morin,Bolivia,797,2012,70.0,France,3.5,,,True,Premium
A. Morin,Peru,797,2012,63.0,France,3.75,,,False,Premium
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,,,True,Premium
Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,,True,Premium
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,,False,Poprawny
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,,True,Premium
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,,True,Premium
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,,True,Premium
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),,False,Poprawny
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),,True,Poprawny
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,,True,Poprawny
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,,True,Premium
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,,True,Poprawny
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,,True,Poprawny
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,,False,Poprawny
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,,True,Poprawny
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,,True,Poprawny
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,,True,Poprawny
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,,,True,Poprawny
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),,True,Premium
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",,True,Premium
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,,True,Premium
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,,True,Premium
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,,,False,Poprawny
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,,,False,Poprawny
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,,,False,Poprawny
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,,,False,Poprawny
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,,,False,Poprawny
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,,,False,Poprawny
Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,,False,Poprawny
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,,,True,Premium
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,,,False,Poprawny
Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,,,False,Premium
Amano,Morobe,725,2011,70.0,U.S.A.,4.0,,,True,Premium
Amano,Los Rios,470,2010,70.0,U.S.A.,3.75,,,True,Premium
Amano,Guayas,470,2010,70.0,U.S.A.,4.0,,,True,Premium
Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,,True,Poprawny
Amano,Montanya,363,2009,70.0,U.S.A.,3.0,,,True,Poprawny
Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,,,True,Poprawny
Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,,True,Premium
Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,,,True,Poprawny
Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,,True,Premium
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,,True,Poprawny
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,,,True,Poprawny
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,,,True,Poprawny
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,,True,Poprawny
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,,,True,Premium
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,,True,Premium
Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,,False,Poprawny
