company,product_name,reference_id,review_year,cocoa_percent,company_location,rating,bean_type,bean_origin,is_dark,rating_grade
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,,Sao Tome,False,Premium
A. Morin,Kpime,1676,2015,70.0,France,2.75,,Togo,True,Poprawny
A. Morin,Atsane,1676,2015,70.0,France,3.0,,Togo,True,Poprawny
A. Morin,Akata,1680,2015,70.0,France,3.5,,Togo,True,Premium
A. Morin,Quilla,1704,2015,70.0,France,3.5,,Peru,True,Premium
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,True,Poprawny
A. Morin,Cuba,1315,2014,70.0,France,3.5,,Cuba,True,Premium
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,True,Premium
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,True,Premium
A. Morin,Pablino,1319,2014,70.0,France,4.0,,Peru,True,Premium
A. Morin,Panama,1011,2013,70.0,France,2.75,,Panama,True,Poprawny
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,True,Poprawny
A. Morin,Brazil,1011,2013,70.0,France,3.25,,Brazil,True,Premium
A. Morin,Equateur,1011,2013,70.0,France,3.75,,Ecuador,True,Premium
A. Morin,Colombie,1015,2013,70.0,France,2.75,,Colombia,True,Poprawny
A. Morin,Birmanie,1015,2013,70.0,France,3.0,,Burma,True,Poprawny
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,,Papua New Guinea,True,Premium
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,True,Premium
A. Morin,Piura,1019,2013,70.0,France,3.25,,Peru,True,Premium
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,,Peru,True,Premium
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,,Peru,False,Premium
A. Morin,Bolivia,797,2012,70.0,France,3.5,,Bolivia,True,Premium
A. Morin,Peru,797,2012,63.0,France,3.75,,Peru,False,Premium
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,,Peru,True,Premium
Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,True,Premium
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,False,Poprawny
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,True,Premium
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,True,Premium
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,True,Premium
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,False,Poprawny
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,True,Poprawny
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,True,Poprawny
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,True,Premium
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,True,Poprawny
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,True,Poprawny
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad,False,Poprawny
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,True,Poprawny
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,True,Poprawny
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,True,Poprawny
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,,Peru,True,Poprawny
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,True,Premium
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,True,Premium
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,True,Premium
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,True,Premium
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,,Nicaragua,False,Poprawny
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,,Peru,False,Poprawny
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,,Bolivia,False,Poprawny
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,,Peru,False,Poprawny
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,,Ecuador,False,Poprawny
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,,Venezuela,False,Poprawny
Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,False,Poprawny
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,,Bolivia,True,Premium
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,,Bolivia,False,Poprawny
Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,,Peru,False,Premium
Amano,Morobe,725,2011,70.0,U.S.A.,4.0,,Papua New Guinea,True,Premium
Amano,Los Rios,470,2010,70.0,U.S.A.,3.75,,Dominican Republic,True,Premium
Amano,Guayas,470,2010,70.0,U.S.A.,4.0,,Ecuador,True,Premium
Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,True,Poprawny
Amano,Montanya,363,2009,70.0,U.S.A.,3.0,,Venezuela,True,Poprawny
Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,,Indonesia,True,Poprawny
Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,True,Premium
Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,,Venezuela,True,Poprawny
Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,True,Premium
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,True,Poprawny
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,,Ecuador,True,Poprawny
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,,Ecuador,True,Poprawny
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,True,Poprawny
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,,Peru,True,Premium
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,True,Premium
Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,False,Poprawny
Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,False,Premium
Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,,Dominican Republic,True,Premium
Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,,Papua New Guinea,False,Premium
Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,,Venezuela,True,Premium
Ambrosia,Peru,1498,2015,68.0,Canada,3.5,,Peru,False,Premium
Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,,Peru,True,Premium
Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,True,Premium
Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,,True,Premium
Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,True,Elita
Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,True,Poprawny
Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,True,Poprawny
Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,True,Premium
Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,True,Premium
Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,True,Premium
Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad,True,Premium
Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,,False,Premium
Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,,True,Elita
Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,,False,Premium
AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,True,Premium
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,True,Poprawny
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,False,Premium
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,True,Premium
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,False,Premium
Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,,Dominican Republic,True,Poprawny
Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,,Bolivia,True,Premium
Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,True,Poprawny
Ara,Chiapas,1379,2014,72.0,France,2.5,,Mexico,True,Poprawny
Ara,Equateur,1379,2014,75.0,France,2.75,,Ecuador,True,Poprawny
Ara,Trincheras,1379,2014,75.0,France,3.0,,Venezuela,True,Poprawny
Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,True,Premium
Arete,Kokoa Kamili,1724,2016,70.0,U.S.A.,3.75,,Tanzania,True,Premium
Arete,Tien Giang,1900,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,True,Premium
Arete,Hacienda Victoria,1904,2016,70.0,U.S.A.,3.25,,Ecuador,True,Premium
Arete,Costa Esmeraldas,1904,2016,70.0,U.S.A.,3.25,,Ecuador,True,Premium
Arete,Lachua,1904,2016,70.0,U.S.A.,3.5,,Guatemala,True,Premium
Arete,Rugoso,1904,2016,70.0,U.S.A.,3.75,,Nicaragua,True,Premium
Arete,"La Masica, FHIA",1908,2016,70.0,U.S.A.,3.5,,Honduras,True,Premium
Arete,"Coto Brus, Terciopelo",1908,2016,70.0,U.S.A.,4.0,,Costa Rica,True,Premium
Arete,Phantom,1924,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,True,Premium
Arete,Elvesia,1928,2016,70.0,U.S.A.,3.75,,Dominican Republic,True,Premium
Arete,Matasawalevu,1928,2016,70.0,U.S.A.,3.25,,Fiji,True,Premium
Arete,Lam Dong,1928,2016,73.0,U.S.A.,3.25,,Vietnam,True,Premium
Arete,Fazenda Camboa,1534,2015,70.0,U.S.A.,3.5,,Brazil,True,Premium
Arete,Nacional,1534,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,False,Premium
Arete,"Puerto Quito, heirloom",1534,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,True,Premium
Arete,Oko Caribe,1598,2015,70.0,U.S.A.,3.5,,Domincan Republic,True,Premium
Arete,Maya Mountain,1598,2015,70.0,U.S.A.,3.75,Trinitario,Belize,True,Premium
Arete,Chuno,1598,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,True,Premium
Arete,Fazenda Camboa,1602,2015,75.0,U.S.A.,2.75,,Brazil,True,Poprawny
Arete,Guatemala,1602,2015,70.0,U.S.A.,3.25,,Guatemala,True,Premium
Arete,Camino Verde,1602,2015,75.0,U.S.A.,3.5,,Ecuador,True,Premium
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,U.K.,3.25,Trinitario,Trinidad,True,Premium
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,U.K.,3.75,,Colombia,True,Premium
Artisan du Chocolat,Haiti,729,2011,72.0,U.K.,4.0,,Haiti,True,Premium
Artisan du Chocolat,Panama,745,2011,72.0,U.K.,2.75,,Panama,True,Poprawny
Artisan du Chocolat,Venezuela,486,2010,100.0,U.K.,1.75,,Venezuela,True,Rozczarowujący
Artisan du Chocolat,Jamaica,531,2010,72.0,U.K.,3.75,Trinitario,Jamaica,True,Premium
Artisan du Chocolat,Costa Rica,600,2010,72.0,U.K.,3.25,,Costa Rica,True,Premium
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,U.K.,3.25,Trinitario,Vietnam,True,Premium
Artisan du Chocolat,Bali,600,2010,72.0,U.K.,3.5,,Indonesia,True,Premium
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,True,Poprawny
Artisan du Chocolat,Java,355,2009,72.0,U.K.,2.75,Trinitario,Indonesia,True,Poprawny
Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,U.K.,1.75,,Brazil,True,Rozczarowujący
Artisan du Chocolat,Madagascar,363,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,True,Poprawny
Artisan du Chocolat,Peru,363,2009,75.0,U.K.,3.0,Criollo,Peru,True,Poprawny
Artisan du Chocolat,Dominican Republic,363,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,True,Premium
Artisan du Chocolat,Congo,300,2008,72.0,U.K.,3.75,Forastero,Congo,True,Premium
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,U.K.,2.75,Trinitario,Colombia,True,Poprawny
Askinosie,Mababa,1780,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,False,Premium
Askinosie,"Tenende, Uwate",647,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,True,Premium
Askinosie,Cortes,661,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,True,Premium
Askinosie,Davao,331,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,True,Premium
Askinosie,Xoconusco,141,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,True,Poprawny
Askinosie,San Jose del Tambo,175,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,True,Poprawny
Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,,,True,Premium
Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,,Papua New Guinea,True,Premium
Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,True,Poprawny
Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,,Brazil,True,Poprawny
Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,Blend,,True,Poprawny
Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,,Peru,True,Poprawny
Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,,Peru,True,Premium
Bar Au Chocolat,Bahia,1554,2015,70.0,U.S.A.,3.5,,Brazil,True,Premium
Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,True,Premium
Bar Au Chocolat,Duarte Province,983,2012,70.0,U.S.A.,3.25,,Dominican Republic,True,Premium
Bar Au Chocolat,Chiapas,983,2012,70.0,U.S.A.,3.5,,Mexico,True,Premium
Bar Au Chocolat,Sambirano,983,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,True,Premium
Baravelli's,single estate,955,2012,80.0,Wales,2.75,,Costa Rica,True,Poprawny
Batch,"Dominican Republic, Batch 3",1840,2016,65.0,U.S.A.,3.5,,Domincan Republic,False,Premium
Batch,Brazil,1868,2016,70.0,U.S.A.,3.75,,Brazil,True,Premium
Batch,Ecuador,1880,2016,65.0,U.S.A.,3.25,,Ecuador,False,Premium
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,U.K.,3.0,,Malaysia,True,Poprawny
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,U.K.,3.25,,Malaysia,True,Premium
